Location Name,Location ID,AA Phone #,Trunk
Clarksville TN-Spoke,143058,9316483600,NA12
GPI Kenton-Spoke,142763,4197676010,NA12
Kenton RDC Warehouse-Spoke,138156,4197676010,NA12
Memphis Lennox-Spoke,139029,9012511950,NA12
Menomonee Falls Tech Cntr-Spoke,138358,2622532805,NA12
Tuscaloosa-Spoke,144378,2053391610,NA12
Visalia Cup Plant-Spoke,138161,5596513535,NA12
Fort Smith,1388272989,4794411900,NA12
Irvine,1305958051,9492500900,NA12
Portland,1301611809,5032861621,NA12
Vancouver,1335023369,3608966486,NA12
